id_caso,estado_predicho,valor_propuesto,comuna_predicha,region_predicha,acepta_coordenadas,requiere_revision,confianza,contradicciones,explicacion,evidencias_utilizadas,valor_original_conservado
DEST-017,COINCIDENCIA_PARCIAL,Calle Sintética 017,COMUNA SINTETICA 3,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 017."", ""Valor con mayor apoyo: CALLE SINTETICA 017."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-018,COINCIDENCIA_PARCIAL,Calle Sintética 018,COMUNA SINTETICA 4,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 018."", ""Valor con mayor apoyo: CALLE SINTETICA 018."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-019,COINCIDENCIA_PARCIAL,"Pasaje Ñandú Sintético Nº 019, Torre Á",COMUNA SINTETICA 5,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 019, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 019, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-020,COINCIDENCIA_PARCIAL,Calle Sintética 020,COMUNA SINTETICA 1,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 020."", ""Valor con mayor apoyo: CALLE SINTETICA 020."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-021,COINCIDENCIA_PARCIAL,Calle Sintética 021,COMUNA SINTETICA 2,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 021."", ""Valor con mayor apoyo: CALLE SINTETICA 021."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-022,COINCIDENCIA_PARCIAL,Calle Sintética 022,COMUNA SINTETICA 3,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 022."", ""Valor con mayor apoyo: CALLE SINTETICA 022."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-023,COINCIDENCIA_PARCIAL,Calle Sintética 023,COMUNA SINTETICA 4,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 023."", ""Valor con mayor apoyo: CALLE SINTETICA 023."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-024,COINCIDENCIA_PARCIAL,Calle Sintética 024,COMUNA SINTETICA 5,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 024."", ""Valor con mayor apoyo: CALLE SINTETICA 024."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: COINCIDENCIA_PARCIAL.""]","{""estado_externo"": ""COINCIDENCIA_PARCIAL"", ""externa"": true, ""internas"": 2}",True
DEST-025,CONTRADICCION_COMUNA,Calle Sintética 025,COMUNA CONTRARIA,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 025."", ""Valor con mayor apoyo: CALLE SINTETICA 025."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-026,CONTRADICCION_COMUNA,Calle Sintética 026,COMUNA CONTRARIA,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 026."", ""Valor con mayor apoyo: CALLE SINTETICA 026."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-027,CONTRADICCION_COMUNA,Calle Sintética 027,COMUNA CONTRARIA,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 027."", ""Valor con mayor apoyo: CALLE SINTETICA 027."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-028,CONTRADICCION_COMUNA,"Pasaje Ñandú Sintético Nº 028, Torre Á",COMUNA CONTRARIA,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 028, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 028, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-029,CONTRADICCION_COMUNA,Calle Sintética 029,COMUNA CONTRARIA,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 029."", ""Valor con mayor apoyo: CALLE SINTETICA 029."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-030,CONTRADICCION_COMUNA,Calle Sintética 030,COMUNA CONTRARIA,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 030."", ""Valor con mayor apoyo: CALLE SINTETICA 030."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-031,CONTRADICCION_COMUNA,Calle Sintética 031,COMUNA CONTRARIA,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 031."", ""Valor con mayor apoyo: CALLE SINTETICA 031."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-032,CONTRADICCION_COMUNA,Calle Sintética 032,COMUNA CONTRARIA,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 032."", ""Valor con mayor apoyo: CALLE SINTETICA 032."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-033,CONTRADICCION_COMUNA,Calle Sintética 033,COMUNA CONTRARIA,REGION SINTETICA 1,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 033."", ""Valor con mayor apoyo: CALLE SINTETICA 033."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-034,CONTRADICCION_COMUNA,Calle Sintética 034,COMUNA CONTRARIA,REGION SINTETICA 2,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 034."", ""Valor con mayor apoyo: CALLE SINTETICA 034."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-035,CONTRADICCION_COMUNA,Calle Sintética 035,COMUNA CONTRARIA,REGION SINTETICA 3,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 035."", ""Valor con mayor apoyo: CALLE SINTETICA 035."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_COMUNA.""]","{""estado_externo"": ""CONTRADICCION_COMUNA"", ""externa"": true, ""internas"": 2}",True
DEST-036,CONTRADICCION_REGION,Calle Sintética 036,COMUNA SINTETICA 2,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 036."", ""Valor con mayor apoyo: CALLE SINTETICA 036."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-037,CONTRADICCION_REGION,"Pasaje Ñandú Sintético Nº 037, Torre Á",COMUNA SINTETICA 3,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 037, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 037, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-038,CONTRADICCION_REGION,Calle Sintética 038,COMUNA SINTETICA 4,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 038."", ""Valor con mayor apoyo: CALLE SINTETICA 038."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-039,CONTRADICCION_REGION,Calle Sintética 039,COMUNA SINTETICA 5,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 039."", ""Valor con mayor apoyo: CALLE SINTETICA 039."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-040,CONTRADICCION_REGION,Calle Sintética 040,COMUNA SINTETICA 1,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 040."", ""Valor con mayor apoyo: CALLE SINTETICA 040."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-041,CONTRADICCION_REGION,Calle Sintética 041,COMUNA SINTETICA 2,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 041."", ""Valor con mayor apoyo: CALLE SINTETICA 041."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-042,CONTRADICCION_REGION,Calle Sintética 042,COMUNA SINTETICA 3,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 042."", ""Valor con mayor apoyo: CALLE SINTETICA 042."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-043,CONTRADICCION_REGION,Calle Sintética 043,COMUNA SINTETICA 4,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 043."", ""Valor con mayor apoyo: CALLE SINTETICA 043."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-044,CONTRADICCION_REGION,Calle Sintética 044,COMUNA SINTETICA 5,REGION CONTRARIA,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 044."", ""Valor con mayor apoyo: CALLE SINTETICA 044."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 1."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: CONTRADICCION_REGION.""]","{""estado_externo"": ""CONTRADICCION_REGION"", ""externa"": true, ""internas"": 2}",True
DEST-045,REVISAR,Calle Sintética 045,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 045."", ""Valor con mayor apoyo: CALLE SINTETICA 045."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-046,REVISAR,"Pasaje Ñandú Sintético Nº 046, Torre Á",,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Pasaje Ñandú Sintético Nº 046, Torre Á."", ""Valor con mayor apoyo: PASAJE NANDU SINTETICO No 046, TORRE A."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-047,REVISAR,Calle Sintética 047,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 047."", ""Valor con mayor apoyo: CALLE SINTETICA 047."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-048,REVISAR,Calle Sintética 048,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 048."", ""Valor con mayor apoyo: CALLE SINTETICA 048."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-049,REVISAR,Calle Sintética 049,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 049."", ""Valor con mayor apoyo: CALLE SINTETICA 049."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-050,REVISAR,Calle Sintética 050,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 050."", ""Valor con mayor apoyo: CALLE SINTETICA 050."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-051,REVISAR,Calle Sintética 051,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 051."", ""Valor con mayor apoyo: CALLE SINTETICA 051."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-052,REVISAR,Calle Sintética 052,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 052."", ""Valor con mayor apoyo: CALLE SINTETICA 052."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: REVISAR.""]","{""estado_externo"": ""REVISAR"", ""externa"": false, ""internas"": 2}",True
DEST-053,SIN_RESULTADOS,Calle Sintética 053,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 053."", ""Valor con mayor apoyo: CALLE SINTETICA 053."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: SIN_RESULTADOS.""]","{""estado_externo"": ""SIN_RESULTADOS"", ""externa"": false, ""internas"": 2}",True
DEST-054,SIN_RESULTADOS,Calle Sintética 054,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 054."", ""Valor con mayor apoyo: CALLE SINTETICA 054."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: SIN_RESULTADOS.""]","{""estado_externo"": ""SIN_RESULTADOS"", ""externa"": false, ""internas"": 2}",True
DEST-055,SIN_RESULTADOS,Calle Sintética 055,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 055."", ""Valor con mayor apoyo: CALLE SINTETICA 055."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: SIN_RESULTADOS.""]","{""estado_externo"": ""SIN_RESULTADOS"", ""externa"": false, ""internas"": 2}",True
DEST-056,SIN_RESULTADOS,Calle Sintética 056,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 056."", ""Valor con mayor apoyo: CALLE SINTETICA 056."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: SIN_RESULTADOS.""]","{""estado_externo"": ""SIN_RESULTADOS"", ""externa"": false, ""internas"": 2}",True
DEST-057,SIN_RESULTADOS,Calle Sintética 057,,,False,True,BAJA,[],"[""Campo: destino."", ""Original conservado: Calle Sintética 057."", ""Valor con mayor apoyo: CALLE SINTETICA 057."", ""Evidencias favorables independientes: 2."", ""Evidencias contrarias: 0."", ""Decisión: SIN_CAMBIO."", ""Verificación externa: SIN_RESULTADOS.""]","{""estado_externo"": ""SIN_RESULTADOS"", ""externa"": false, ""internas"": 2}",True
