id_caso,clase_gt,resultado_esperado,estado_predicho,clasificacion,gravedad,valor_original_conservado,trazabilidad_completa
DEST-017,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-018,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-019,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-020,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-021,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-022,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-023,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-024,VERIFICABLE_APROXIMADA,COINCIDENCIA_PARCIAL,COINCIDENCIA_PARCIAL,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-025,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-026,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-027,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-028,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-029,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-030,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-031,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-032,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-033,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-034,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-035,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,CONTRADICCION_COMUNA,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-036,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-037,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-038,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-039,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-040,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-041,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-042,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-043,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-044,CONTRADICCION_REGION,CONTRADICCION_REGION,CONTRADICCION_REGION,ACIERTO_CONTRADICCION,NINGUNA,True,True
DEST-045,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-046,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-047,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-048,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-049,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-050,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-051,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-052,AMBIGUA,REVISAR,REVISAR,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-053,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-054,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-055,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-056,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-057,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-058,SIN_RESULTADOS,SIN_RESULTADOS,SIN_RESULTADOS,ACIERTO_ABSTENCION,NINGUNA,True,True
DEST-059,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
DEST-060,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
DEST-061,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
DEST-062,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
DEST-063,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
DEST-064,DATOS_INSUFICIENTES,DATOS_INSUFICIENTES,CONSULTA_NO_AUTORIZADA,ERROR_CLASIFICACION,MEDIA,True,True
